Trial Pos Threads Depth1 Depth2 One Two Draws Games
1776518677 james10.epd 1 12 10 8 1 11 20
1776518677 james10.epd 8 12 10 3 4 13 20
1776518677 james10.epd 16 12 10 1 4 15 20
1776519034 james10.epd 1 15 10 8 0 12 20
1776519034 james10.epd 8 15 10 4 0 16 20
1776519034 james10.epd 16 15 10 4 2 14 20
1776519643 james50.epd 1 10 12 3 55 42 100
1776519643 james50.epd 2 10 12 3 58 39 100
1776519643 james50.epd 4 10 12 1 63 36 100
1776519643 james50.epd 8 10 12 0 72 28 100
1776519643 james50.epd 16 10 12 0 73 27 100
1776520100 james50.epd 1 10 13 1 62 37 100
1776520100 james50.epd 2 10 13 1 72 27 100
1776520100 james50.epd 4 10 13 0 73 27 100
1776520100 james50.epd 8 10 13 0 77 23 100
1776520100 james50.epd 16 10 13 0 82 18 100
1776520402 james50.epd 1 10 14 0 55 45 100
1776520402 james50.epd 2 10 14 1 73 26 100
1776520402 james50.epd 4 10 14 0 77 23 100
1776520402 james50.epd 8 10 14 2 79 19 100
1776520402 james50.epd 16 10 14 0 83 17 100
