Trial Pos Threads Nodes One Two Draws Games Time
1776524359 james50.epd 1 10000 34 34 32 100 169.144866
1776524359 james50.epd 2 10000 21 32 47 100 94.09973
1776524359 james50.epd 4 10000 35 30 35 100 62.061718
1776524359 james50.epd 8 10000 30 32 38 100 31.504743
1776524359 james50.epd 16 10000 36 36 28 100 32.2138
1776524540 james50.epd 1 100000 13 13 74 100 1546.338852
1776524540 james50.epd 2 100000 20 22 58 100 843.077876
1776524540 james50.epd 4 100000 15 15 70 100 426.155221
1776524540 james50.epd 8 100000 15 22 63 100 232.828237
1776524540 james50.epd 16 100000 11 16 73 100 141.688684
