Trial Pos Threads Depth TTSize One Two Draws Games
1776519507 james10.epd 8 9 -1 3 1 16 20
1776520809 james50.epd 1 10 -1 23 18 59 100
1776520809 james50.epd 2 10 -1 15 22 63 100
1776520809 james50.epd 4 10 -1 18 16 66 100
1776520809 james50.epd 8 10 -1 21 19 60 100
1776520809 james50.epd 16 10 -1 14 12 74 100
1776521020 james50.epd 1 12 -1 11 15 74 100
1776521020 james50.epd 2 12 -1 17 15 68 100
1776521020 james50.epd 4 12 -1 8 19 73 100
1776521020 james50.epd 8 12 -1 9 13 78 100
1776521020 james50.epd 16 12 -1 15 11 73 99
1776617283 james50.epd 32 20 1 30 2 59 91
