Trial Pos Size1 Size2 Threads One Two Draws Games
1776621692 james50.epd 1 1 1 13 9 78 100
1776621692 james50.epd 1 5 1 13 9 78 100
1776621692 james50.epd 1 10 1 14 7 79 100
1776621692 james50.epd 1 100 1 13 15 72 100
1776621692 james50.epd 1 1000 1 13 14 73 100
1776622444 james50.epd 1 1 8 6 7 87 100
1776622444 james50.epd 1 5 8 13 12 75 100
1776622444 james50.epd 1 10 8 12 15 73 100
1776622444 james50.epd 1 100 8 7 17 76 100
1776622444 james50.epd 1 1000 8 9 11 80 100
1776622775 james50.epd 1 1 16 7 10 83 100
1776622775 james50.epd 1 5 16 10 9 81 100
1776622775 james50.epd 1 10 16 5 14 81 100
1776622775 james50.epd 1 100 16 13 14 73 100
1776622775 james50.epd 1 1000 16 8 14 78 100
1776629657 james50.epd 1 1 16 9 11 80 100
1776629657 james50.epd 1 1000 16 7 17 76 100
1776629657 james50.epd 1 10000 16 6 14 80 100
1776630429 james50.epd 1 1 8 14 10 76 100
1776630429 james50.epd 1 1000 8 6 19 74 99
1776630429 james50.epd 1 10000 8 10 8 80 98
1776631211 james50.epd 1 1 4 12 13 75 100
1776631211 james50.epd 1 1000 4 12 11 77 100
1776631211 james50.epd 1 10000 4 10 14 76 100
1776632004 james50.epd 1 1 1 12 11 77 100
1776632004 james50.epd 1 1000 1 17 11 72 100
1776632004 james50.epd 1 10000 1 10 6 84 100
