Trial Pos Threads Depth One Two Draws Games
1776486277-0 james5.epd 1 10 1 1 8 10
1776486277-0 james5.epd 2 10 1 2 7 10
1776486277-0 james5.epd 4 10 4 0 6 10
1776486277-0 james5.epd 8 10 0 0 10 10
1776486277-0 james5.epd 16 10 1 0 9 10
1776486277-1 james5.epd 1 10 1 1 8 10
1776486277-1 james5.epd 2 10 1 1 8 10
1776486277-1 james5.epd 4 10 1 3 6 10
1776486277-1 james5.epd 8 10 1 1 8 10
1776486277-1 james5.epd 16 10 0 3 7 10
1776486277-2 james5.epd 1 10 1 1 8 10
1776486277-2 james5.epd 2 10 2 0 8 10
1776486277-2 james5.epd 4 10 1 1 8 10
1776486277-2 james5.epd 8 10 2 0 8 10
1776486277-2 james5.epd 16 10 3 1 6 10
1776486277-3 james5.epd 1 10 1 1 8 10
1776486277-3 james5.epd 2 10 4 3 3 10
1776486277-3 james5.epd 4 10 3 3 4 10
1776486277-3 james5.epd 8 10 0 2 8 10
1776486277-3 james5.epd 16 10 0 2 8 10
1776486277-4 james5.epd 1 10 1 1 8 10
1776486277-4 james5.epd 2 10 0 1 9 10
1776486277-4 james5.epd 4 10 1 1 8 10
1776486277-4 james5.epd 8 10 2 0 8 10
1776486277-4 james5.epd 16 10 0 1 9 10
1776486277-5 james5.epd 1 10 1 1 8 10
1776486277-5 james5.epd 2 10 0 3 7 10
1776486277-5 james5.epd 4 10 2 0 8 10
1776486277-5 james5.epd 8 10 0 0 10 10
1776486277-5 james5.epd 16 10 2 0 8 10
1776486277-6 james5.epd 1 10 1 1 8 10
1776486277-6 james5.epd 2 10 2 2 6 10
1776486277-6 james5.epd 4 10 3 0 7 10
1776486277-6 james5.epd 8 10 0 1 9 10
1776486277-6 james5.epd 16 10 1 1 8 10
1776486277-7 james5.epd 1 10 1 1 8 10
1776486277-7 james5.epd 2 10 0 3 7 10
1776486277-7 james5.epd 4 10 0 2 8 10
1776486277-7 james5.epd 8 10 2 0 8 10
1776486277-7 james5.epd 16 10 0 0 10 10
1776486277-8 james5.epd 1 10 1 1 8 10
1776486277-8 james5.epd 2 10 3 0 7 10
1776486277-8 james5.epd 4 10 2 0 8 10
1776486277-8 james5.epd 8 10 0 3 7 10
1776486277-8 james5.epd 16 10 0 4 6 10
1776486277-9 james5.epd 1 10 1 1 8 10
1776486277-9 james5.epd 2 10 0 1 9 10
1776486277-9 james5.epd 4 10 0 1 9 10
1776486277-9 james5.epd 8 10 0 3 7 10
1776486277-9 james5.epd 16 10 0 1 9 10
1776486701-0 james5.epd 1 10 1 1 8 10
1776486701-0 james5.epd 2 10 2 1 7 10
1776486701-0 james5.epd 4 10 1 0 9 10
1776486701-0 james5.epd 8 10 1 1 8 10
1776486701-0 james5.epd 16 10 1 0 9 10
1776486701-1 james5.epd 1 10 1 1 8 10
1776486701-1 james5.epd 2 10 2 0 8 10
1776486701-1 james5.epd 4 10 1 1 8 10
1776486701-1 james5.epd 8 10 1 2 7 10
1776486701-1 james5.epd 16 10 1 1 8 10
1776486701-2 james5.epd 1 10 1 1 8 10
1776486701-2 james5.epd 2 10 1 0 9 10
1776486701-2 james5.epd 4 10 1 1 8 10
1776486701-2 james5.epd 8 10 1 2 7 10
1776486701-2 james5.epd 16 10 0 0 10 10
1776486701-3 james5.epd 1 10 1 1 8 10
1776486701-3 james5.epd 2 10 0 1 9 10
1776486701-3 james5.epd 4 10 0 1 9 10
1776486701-3 james5.epd 8 10 0 0 10 10
1776486701-3 james5.epd 16 10 2 1 7 10
1776486701-4 james5.epd 1 10 1 1 8 10
1776486701-4 james5.epd 2 10 0 2 8 10
1776486701-4 james5.epd 4 10 0 0 10 10
1776486701-4 james5.epd 8 10 2 0 8 10
1776486701-4 james5.epd 16 10 0 1 9 10
1776486701-5 james5.epd 1 10 1 1 8 10
1776486701-5 james5.epd 2 10 0 2 8 10
1776486701-5 james5.epd 4 10 1 2 7 10
1776486701-5 james5.epd 8 10 1 0 9 10
1776486701-5 james5.epd 16 10 1 0 9 10
1776486701-6 james5.epd 1 10 1 1 8 10
1776486701-6 james5.epd 2 10 3 2 5 10
1776486701-6 james5.epd 4 10 1 1 8 10
1776486701-6 james5.epd 8 10 1 1 8 10
1776486701-6 james5.epd 16 10 1 0 9 10
1776486701-7 james5.epd 1 10 1 1 8 10
1776486701-7 james5.epd 2 10 1 3 6 10
1776486701-7 james5.epd 4 10 0 2 8 10
1776486701-7 james5.epd 8 10 0 0 10 10
1776486701-7 james5.epd 16 10 1 2 7 10
1776486701-8 james5.epd 1 10 1 1 8 10
