Trial Pos Threads Clock One Two Draws Games
1776466807 james50.epd 1 1 34 24 42 100
1776466807 james50.epd 2 1 16 37 47 100
1776466807 james50.epd 4 1 6 59 35 100
1776466807 james50.epd 8 1 6 72 22 100
1776466807 james50.epd 16 1 5 75 20 100
1776466934 james50.epd 1 1 24 23 53 100
1776466934 james50.epd 2 1 16 35 49 100
1776466934 james50.epd 4 1 8 53 39 100
1776466934 james50.epd 8 1 5 61 34 100
1776466934 james50.epd 16 1 4 80 16 100
1776467126 james.epd 1 2 146 148 506 800
1776467126 james.epd 2 2 63 225 512 800
1776467126 james.epd 4 2 24 347 429 800
1776467126 james.epd 8 2 17 415 368 800
1776467126 james.epd 16 2 7 480 313 800
1776489862 james50.epd 1 1 31 28 41 100
1776489862 james50.epd 2 1 13 36 51 100
1776489862 james50.epd 4 1 6 58 36 100
1776489862 james50.epd 8 1 3 63 34 100
1776489862 james50.epd 16 1 3 70 27 100
1776489984 james50.epd 1 5 10 11 79 100
1776489984 james50.epd 2 5 5 19 76 100
1776489984 james50.epd 4 5 3 25 72 100
1776489984 james50.epd 8 5 2 43 55 100
1776489984 james50.epd 16 5 2 40 58 100
1776490765 james50.epd 1 10 13 13 74 100
1776490765 james50.epd 2 10 7 14 79 100
1776490765 james50.epd 4 10 5 19 76 100
1776490765 james50.epd 8 10 4 25 71 100
1776490765 james50.epd 16 10 3 29 67 99
