Trial Pos Threads Depth One Two Draws Games
1775236701 pos_open2 1 10 10 10 20 40
1775236701 pos_open2 2 10 9 12 19 40
1775236701 pos_open2 4 10 7 13 20 40
1775236701 pos_open2 8 10 11 18 11 40
1775236701 pos_open2 16 10 12 17 11 40
1775237190 pos_open2 1 12 9 9 22 40
1775237190 pos_open2 2 12 8 11 21 40
1775237190 pos_open2 4 12 9 11 20 40
1775237190 pos_open2 8 12 8 19 13 40
1775237190 pos_open2 16 12 8 13 19 40
1775237309 pos_open2 1 15 7 7 26 40
1775237309 pos_open2 2 15 7 10 23 40
1775237309 pos_open2 4 15 7 7 26 40
1775237309 pos_open2 8 15 13 7 20 40
1775237309 pos_open2 16 15 8 12 20 40
1775238070 james50.epd 1 10 23 23 54 100
1775238070 james50.epd 1 12 21 21 58 100
1775238070 james50.epd 2 10 19 19 62 100
1775238070 james50.epd 2 12 12 22 66 100
1775238070 james50.epd 4 10 12 35 53 100
1775238070 james50.epd 4 12 16 23 61 100
1775238070 james50.epd 8 10 20 37 43 100
1775238070 james50.epd 8 12 14 34 52 100
1775238070 james50.epd 16 10 14 42 44 100
1775238070 james50.epd 16 12 13 33 54 100
1775238918 james100.epd 1 10 43 43 114 200
1775238918 james100.epd 2 10 39 43 118 200
1775238918 james100.epd 4 10 36 62 102 200
1775238918 james100.epd 8 10 41 68 91 200
1775238918 james100.epd 16 10 40 83 77 200
