Trial Pos Threads Turn One Two Draws Games
1774664236 pos_open2 1 0.01 14 13 13 40
1774664270 pos_open2 1 0.01 14 9 17 40
1774664288 pos_open2 1 0.01 10 12 18 40
1774664303 pos_open2 1 0.01 14 12 14 40
1774664305 pos_open2 1 0.01 14 11 15 40
1774664477 pos_open2 1 0.2 8 8 24 40
1774664483 pos_open2 1 0.3 9 8 23 40
1774664964 pos_open2 1 0.05 11 10 19 40
1774665831 pos_open2 1 0.05 10 10 20 40
1774666268 pos_open2 2 0.1 6 13 21 40
1774664868 pos_open2 2 0.05 11 11 18 40
1774665268 pos_open2 2 0.05 11 13 16 40
1774666425 pos_open2 4 0.1 7 9 24 40
1774664565 pos_open2 4 0.05 9 12 19 40
1774665262 pos_open2 4 0.05 8 18 14 40
1774666544 pos_open2 8 0.1 11 10 19 40
1774665083 pos_open2 8 0.05 11 14 15 40
1774665230 pos_open2 8 0.05 7 20 13 40
1774666677 pos_open2 16 0.1 11 14 15 40
1774665090 pos_open2 16 0.05 8 17 15 40
1774665222 pos_open2 16 0.05 12 19 9 40
1774664347 pos_open2 1 0.1 9 8 23 40
