Trial Pos Clock1 Clock2 Threads One Two Draws Games
1776519280 james50.epd 1 1 4 22 24 54 100
1776519280 james50.epd 1 2 4 1 68 31 100
1776519280 james50.epd 1 3 4 1 75 24 100
1776519280 james50.epd 1 4 4 0 83 17 100
1776519280 james50.epd 1 5 4 0 88 12 100
1776531874 james50.epd 1 1 4 17 26 57 100
1776531874 james50.epd 1 1.1 4 5 44 51 100
1776531874 james50.epd 1 1.2 4 7 39 54 100
1776531874 james50.epd 1 1.3 4 2 48 50 100
1776531874 james50.epd 1 1.4 4 3 64 33 100
1776531874 james50.epd 1 1.5 4 2 59 39 100
