Trial Pos Threads Nodes One Two Draws Games Time
1776485288 james50.epd 1 5000 34 34 32 100 71.494839
1776485288 james50.epd 2 5000 51 19 30 100 59.914993
1776485288 james50.epd 4 5000 74 8 18 100 45.689076
1776485288 james50.epd 8 5000 89 1 10 100 38.468094
1776485288 james50.epd 16 5000 99 0 1 100 28.133904
1776485499 james10.epd 1 10000 6 6 8 20 31.297299
1776485499 james10.epd 2 10000 8 2 10 20 23.793942
1776485499 james10.epd 4 10000 13 2 5 20 18.102671
1776485499 james10.epd 8 10000 13 1 6 20 17.272461
1776485499 james10.epd 16 10000 18 0 2 20 13.038172
1776485614 james10.epd 1 100000 3 3 14 20 263.131126
1776485614 james10.epd 2 100000 5 0 15 20 196.571497
1776485614 james10.epd 4 100000 2 0 18 20 161.92734
1776485614 james10.epd 8 100000 6 0 14 20 182.239211
1776485614 james10.epd 16 100000 9 0 11 20 165.197347
1776487084 james50.epd 1 10000 28 28 44 100 139.024154
1776487084 james50.epd 2 10000 46 13 41 100 113.272454
1776487084 james50.epd 4 10000 57 9 34 100 94.698071
1776487084 james50.epd 8 10000 77 2 21 100 74.830356
1776487084 james50.epd 16 10000 95 1 4 100 55.260219
1776487085 james50.epd 1 500000 13 7 80 100 6541.60108
1776487085 james50.epd 2 500000 12 9 79 100 4938.84712
1776487085 james50.epd 4 500000 10 14 76 100 4324.637415
1776487085 james50.epd 8 500000 14 11 75 100 3849.604137
1776487085 james50.epd 16 500000 20 8 72 100 3378.634617
1776618158 james50.epd 1 100000 20 20 60 100 1482.102515
1776618158 james50.epd 2 100000 19 16 65 100 1057.958296
1776618158 james50.epd 4 100000 16 18 66 100 877.57178
1776618158 james50.epd 8 100000 27 11 62 100 779.8817
1776618158 james50.epd 16 100000 45 5 50 100 821.650217
1776626299 james.epd 1 100000 130 130 540 800 10912.444919000001
1776626299 james.epd 2 100000 162 104 534 800 8065.500533
1776626299 james.epd 4 100000 180 88 532 800 6633.430849
1776626300 james.epd 8 100000 246 65 489 800 5817.869672
1776626300 james.epd 16 100000 326 40 434 800 5502.607493
