Trial Pos Threads Nodes One Two Draws Games Time
1776523276 james50.epd 1 10000 34 34 32 100 154.376625
1776523276 james50.epd 2 10000 31 26 43 100 95.390956
1776523276 james50.epd 4 10000 30 35 35 100 108.450657
1776523276 james50.epd 8 10000 38 30 32 100 195.039714
1776523276 james50.epd 16 10000 34 39 27 100 191.472873
1776523457 james50.epd 1 100000 13 13 74 100 1479.459581
1776523457 james50.epd 2 100000 16 17 67 100 869.910968
1776523457 james50.epd 4 100000 13 23 64 100 1146.369154
1776523457 james50.epd 8 100000 16 22 62 100 1888.7352
1776523457 james50.epd 16 100000 15 21 64 100 2071.033718
