Trial Pos Threads Depth One Two Draws Games
1776519664 james50.epd 8 10 15 19 66 100
1776521441 james50.epd 1 10 23 18 59 100
1776521441 james50.epd 2 10 15 22 63 100
1776521441 james50.epd 4 10 15 11 74 100
1776521441 james50.epd 8 10 15 18 67 100
1776521441 james50.epd 16 10 13 17 70 100
1776521623 james50.epd 1 12 11 15 74 100
1776521623 james50.epd 2 12 12 10 78 100
1776521623 james50.epd 4 12 15 11 74 100
1776521623 james50.epd 8 12 8 14 78 100
1776521623 james50.epd 16 12 12 11 77 100
1776522014 james50.epd 1 15 8 12 80 100
1776522014 james50.epd 2 15 11 11 78 100
1776522014 james50.epd 4 15 6 11 83 100
1776522014 james50.epd 8 15 11 11 78 100
1776522014 james50.epd 16 15 10 13 77 100
