Trial Pos Threads1 Threads2 Depth One Two Draws Games
1776619430 james50.epd 2 1 10 31 5 64 100
1776619430 james50.epd 2 2 10 18 24 58 100
1776619430 james50.epd 2 4 10 15 32 53 100
1776619430 james50.epd 2 8 10 3 38 59 100
1776619430 james50.epd 2 16 10 1 52 47 100
1776619432 james50.epd 2 1 13 28 9 63 100
1776619432 james50.epd 2 2 13 12 7 81 100
1776619432 james50.epd 2 4 13 5 22 73 100
1776619432 james50.epd 2 8 13 4 25 71 100
1776619432 james50.epd 2 16 13 6 35 59 100
1776619583 james50.epd 4 8 10 7 23 70 100
1776619583 james50.epd 4 10 10 8 27 65 100
1776619583 james50.epd 4 12 10 12 24 64 100
1776619583 james50.epd 4 14 10 7 26 67 100
1776619583 james50.epd 4 16 10 5 37 58 100
1776619734 james50.epd 4 8 13 11 21 68 100
1776619734 james50.epd 4 10 13 7 21 72 100
1776619734 james50.epd 4 12 13 11 21 68 100
1776619734 james50.epd 4 14 13 4 21 75 100
1776619734 james50.epd 4 16 13 1 22 77 100
1776638368 james.epd 3 1 11 263 34 503 800
1776638368 james.epd 3 2 11 166 76 558 800
1776638368 james.epd 3 4 11 86 143 571 800
1776638368 james.epd 3 8 11 50 193 557 800
1776638368 james.epd 3 16 11 23 279 498 800
