Trial Pos Turn1 Turn2 Threads One Two Draws Games
1775434088 pos_open2 0.01 0.01 4 13 10 17 40
1775434088 pos_open2 0.01 0.02 4 9 13 18 40
1775434088 pos_open2 0.01 0.05 4 13 17 10 40
1775434088 pos_open2 0.01 0.1 4 10 21 9 40
1775434088 pos_open2 0.01 0.2 4 12 22 6 40
1775437455 james100.epd 0.01 0.01 4 41 52 107 200
1775437455 james100.epd 0.01 0.02 4 43 72 85 200
1775437455 james100.epd 0.01 0.05 4 39 96 65 200
1775437455 james100.epd 0.01 0.1 4 51 93 56 200
1775437455 james100.epd 0.01 0.2 4 52 114 34 200
